peso,ADC_promedio,difencial_potencial,lim_inf,lim_sup
50,57,"0.284",55,59
100,127,"0.624",125,129
200,"392,5","1.89",391,394
300,"490,5","2.39",488,493
400,553,"2.71",550,556
500,"603,5","2.93",602,605
600,"617,5","2.99",616,619
700,"653,5","3.16",652,655
800,"687,5","3.32",686,689
900,706,"3.41",705,707
1000,739,"3.59",736,742
1100,"752,5","3.64",752,753
1200,"758,5","3.73",758,759
